"","exptID","taxon","shellID","source","pocket","dateM1","dateM2","mass1","mass2","shape","xDim","yDim","zDim","calcX1","calcX2","polymorph","mag","notes","exclude","cMass","pMass","cTime1","cTime2","cDuration","cSize","finalSA","calcX","massSA","volume","densityMV","rootMass","deviation","deviationStan","poros","tFont","tPoint","tAbrev","tColor","tLine","cTotal","percentTotal","SATotal","percentSATotal","perMassSA"
"237",3.1,"Marginopora","3.1.7.3",NA,NA,NA,NA,132.08,126.63,NA,10.16,9.93,1.16,NA,NA,"Calcite",0.15,"",0,5.45000000000002,0.0412628709872806,NA,NA,NA,4.8914052861171,195.082222372904,NA,0.027936938249464,91.9159387437521,1.43696514233749,5.09267177675061,4.6795315712943,0.956684489951354,0.469950150373481,3,"M","Margi","#0040FF",6,461.15,1.18182803859916,15795.8218135114,1.23502420245102,0.956927027222388
"238",3.1,"Pecten","3.1.3.6",NA,NA,NA,NA,1138.7,1111.5,NA,20.53,10.92,2.23,24.157,24.08,"Calcite",0.01,"",0,27.2,0.0238868885571266,NA,NA,NA,7.93667902493309,683.01975,24.1185,0.0398231529908177,587.3240646,1.93879336576395,10.442466889144,8.29060699168897,1.04459396249288,0.284841989758778,3,"P","Pecte","#8000FF",7,461.15,5.89829773392605,15795.8218135114,4.32405327221252,1.36406685177309
"239",3.1,"Aragonite","3.1.1.2",NA,NA,NA,NA,1156.67,1142.48,NA,10.6,6.41,6.4,NA,NA,"Aragonite",NA,"",0,14.1900000000001,0.0122679761729794,NA,NA,NA,7.57613938646184,353.62,NA,0.0401278208246141,434.8544,2.65990179701528,10.4971118284679,1.78871312882061,0.236098233886371,0.0601053720794075,3,"A","Arago","#FFBF00",2,461.15,3.07708988398571,15795.8218135114,2.23869327075797,1.37450267268811
"240",3.1,"Calcite","3.1.2.5",NA,NA,NA,NA,1646.28,1635.55,NA,9.35,8.29,7.95,NA,NA,"Calcite",0.01,"",0,10.73,0.00651772480987439,NA,NA,NA,8.509638086922,435.499,NA,0.0246384033028779,616.216425,2.67159383166393,11.8077704253953,0.539879362307334,0.0634432812292035,0.0145356578148534,3,"C","Calci","#80FF00",3,461.15,2.32679171636127,15795.8218135114,2.75705186562363,0.843941945878108
"241",3.1,"Pecten","3.1.3.1",NA,NA,NA,NA,619.57,591.47,NA,18.93,11.94,1.42,21.041,22.01,"Calcite",0.01,"",0,28.1,0.0453540358635828,NA,NA,NA,6.8466967859087,609.07096,21.5255,0.0461358394102389,364.9605474,1.69763555105847,8.52504722728772,8.39960107136377,1.22681072844516,0.373797288432877,3,"P","Pecte","#8000FF",7,461.15,6.09346199718096,15795.8218135114,3.85589915606046,1.58029599596858
"242",3.1,"Marginopora","3.1.7.2",NA,NA,NA,NA,84.62,78.04,NA,9.8,10.31,0.93,NA,NA,"Calcite",0.15,"",0,6.58,0.077759394942094,NA,NA,NA,4.54627703346702,188.087623409319,NA,0.0349836947308357,73.8002054590168,1.14660927396729,4.39026774552945,4.87790765551099,1.07294553754703,0.577053015873372,3,"M","Margi","#0040FF",6,461.15,1.42686761357476,15795.8218135114,1.19074287890759,1.19830035421567
"243",3.1,"Calcite","3.1.2.4",NA,NA,NA,NA,487.77,482.15,NA,8.97,8.77,2.19,NA,NA,"Calcite",0.01,"",0,5.62,0.0115218238104025,NA,NA,NA,5.56431939037006,235.035,NA,0.0239113323547557,172.280511,2.83125466234541,7.87175729430505,3.32856020320998,0.598197186338834,-0.0443580458669908,3,"C","Calci","#80FF00",3,461.15,1.21869239943619,15795.8218135114,1.48795676967536,0.819037504498256
"244",3.1,"Centrostephanus","3.1.6.3",NA,NA,NA,NA,235.79,221.97,NA,46.44,3.1,2.74,NA,NA,"Calcite",0.08,"",0,13.82,0.0586114763136689,NA,NA,NA,7.33389727527205,399.927752301731,NA,0.034556241522277,103.26974255842,2.28324380557658,6.17791308622931,15.977965758424,2.17864597208056,0.157785390786952,3,"C","Centr","#00FF40",4,461.15,2.99685568686978,15795.8218135114,2.53185783571983,1.18365875231606
"245",3.1,"Marginopora","3.1.7.4",NA,NA,NA,NA,49,44.93,NA,8.47,8.37,0.77,NA,NA,"Calcite",0.15,"",0,4.07,0.0830612244897959,NA,NA,NA,3.793439812355,131.728079522449,NA,0.0308969812264393,42.8735529191834,1.14289571690886,3.65930571002297,4.092186729215,1.07875356711526,0.578422826665858,3,"M","Margi","#0040FF",6,461.15,0.882576168274965,15795.8218135114,0.833942551882749,1.0583177057969
"246",3.1,"Anadara","3.1.5.2",NA,NA,NA,NA,704.29,692.37,NA,12.27,8.71,3.08,12.536,15.549,"Mixed",NA,"calcx is x",0,11.92,0.0169248462991097,NA,NA,NA,6.90458867216969,369.337275,14.0425,0.0322740237903146,329.164836,2.1396270894501,8.89714169880656,3.66513710927677,0.530826278479097,0.243948024929293,1,"A","Anada","#FF0000",1,461.15,2.58484224222054,15795.8218135114,2.33819600752951,1.10548569662114
"247",3.1,"Centrostephanus","3.1.6.2",NA,NA,NA,NA,215.69,201.69,NA,45.24,2.96,3,NA,NA,"Calcite",0.08,"",0,14,0.0649079697714312,NA,NA,NA,7.37867735787653,426.611260045336,NA,0.0328167615606588,105.172982219818,2.05081186677007,5.99712825536271,15.5528924526255,2.10781576403029,0.243521996765007,3,"C","Centr","#00FF40",4,461.15,3.03588853952076,15795.8218135114,2.70078546771414,1.12407615333114
"248",3.1,"Coral","3.1.8.1",NA,NA,NA,NA,104.08,99.06,NA,6.31,3.3,3.44,NA,NA,"Aragonite",NA,"",0,5.02,0.0482321291314373,NA,NA,NA,4.15305083644354,84.6367052025665,NA,0.0593123277658943,56.2589500901022,1.85001674992707,4.70387487905121,1.24101694548118,0.298820552493868,0.346283833948033,3,"C","Coral","#00FFFF",5,461.15,1.08858289059959,15795.8218135114,0.535817042011515,2.03163170494341
"249",3.1,"Aragonite","3.1.1.4",NA,NA,NA,NA,1925.35,1908.96,NA,11.67,5.33,11.4,NA,NA,"Aragonite",NA,"",0,16.3899999999999,0.00851273794375042,NA,NA,NA,8.91731905126679,512.0022,NA,0.0320115812002368,709.09254,2.71523093445603,12.4404635497562,2.94089364957774,0.329795719169649,0.0405544401215441,3,"A","Arago","#FFBF00",2,461.15,3.55415808305321,15795.8218135114,3.24137741008223,1.09649622163655
"250",3.1,"Pecten","3.1.3.5",NA,NA,NA,NA,992.92,972.3,NA,21.11,19.51,1.31,24.579,23.784,"Calcite",0.01,"",0,20.62,0.0207670305764815,NA,NA,NA,8.14089711450974,1058.03386,24.1815,0.0194889793035546,618.03319515,1.60658037107378,9.97634408388965,11.4135342951634,1.40199957506167,0.407384592005246,3,"P","Pecte","#8000FF",7,461.15,4.4714301203513,15795.8218135114,6.69818811893016,0.667558157662714
"251",3.1,"Coral","3.1.8.2",NA,NA,NA,NA,96.18,92.25,NA,7.28,2.94,3.03,NA,NA,"Aragonite",NA,"",0,3.93000000000001,0.0408608858390518,NA,NA,NA,4.01766553404129,82.2622894749834,NA,0.0477740168074845,50.9344029316096,1.88831113087047,4.58171696906452,1.7758885113471,0.442019998006346,0.332752250575805,3,"C","Coral","#00FFFF",5,461.15,0.852217282879759,15795.8218135114,0.520785119294129,1.63640866704266
"252",3.2,"Anadara","3.2.5.1",NA,NA,NA,NA,954.72,924.37,NA,11.5,17.14,2.18,13.225,14.26,"Mixed",NA,"calcx is y, swapped",0,30.35,0.0317894251717781,NA,NA,NA,7.54608542299814,567.30415,13.7425,0.0534986391338756,429.6998,2.22183021728193,9.84672948357332,6.30463819233395,0.835484604125916,0.214900983292606,1,"A","Anada","#FF0000",1,719.84,4.21621471438098,16214.8843952251,3.49866293321868,1.2050931441121
"253",3.2,"Centrostephanus","3.2.6.6",NA,NA,NA,NA,293.56,262.17,NA,69.3,3.12,3.02,NA,NA,"Calcite",0.08,"",0,31.39,0.106928736885134,NA,NA,NA,8.6755747722163,657.647421658228,NA,0.0477307428969333,170.94775362579,1.71724982501152,6.64608094407565,23.9451915907388,2.76006976130547,0.366562218734224,3,"C","Centr","#00FF40",4,719.84,4.3606912647255,16214.8843952251,4.05582553429669,1.07516736798731
"254",3.2,"Marginopora","3.2.7.2",NA,NA,NA,NA,211.51,195.64,NA,13.42,13.47,1.23,NA,NA,"Calcite",0.15,"",0,15.87,0.07503191338471,NA,NA,NA,6.05817397520309,335.902385194107,NA,0.0472458687390066,174.628492273422,1.21119982911397,5.95813448513474,6.53394200826564,1.07853324038067,0.553227654329039,3,"M","Margi","#0040FF",6,719.84,2.20465659035341,16214.8843952251,2.07156817777266,1.06424524860382
"255",3.2,"Anadara","3.2.5.5",NA,NA,NA,NA,746.14,732.3,NA,9.3,12.8,2.49,11.948,11.22,"Mixed",NA,"calcx is y, swapped",0,13.84,0.018548797812743,NA,NA,NA,6.66751633614911,388.74752,11.584,0.0356015132906829,296.4096,2.51725989981431,9.0699892906812,4.31416122128363,0.647041717452367,0.110508869323565,1,"A","Anada","#FF0000",1,719.84,1.9226494776617,16214.8843952251,2.39747327532275,0.80194824169745
"256",3.2,"Aragonite","3.2.1.3",NA,NA,NA,NA,2057.86,2030.23,NA,12.92,8.8,6.84,NA,NA,"Aragonite",NA,"",0,27.6300000000001,0.013426569348741,NA,NA,NA,9.19603105424024,524.5216,NA,0.0526765723280035,777.68064,2.64615048151385,12.7195557114442,2.15867701808008,0.234740074859221,0.0649644941647168,3,"A","Arago","#FFBF00",2,719.84,3.83835296732609,16214.8843952251,3.23481553870627,1.18657553155603
"257",3.2,"Coral","3.2.8.4",NA,NA,NA,NA,107.21,101.88,NA,12.01,2.47,2.56,NA,NA,"Aragonite",NA,"",0,5.33,0.0497155116127227,NA,NA,NA,4.23473893569989,104.824736674167,NA,0.0508467769069389,59.6444182982049,1.79748588483135,4.75056318345439,3.73824631189996,0.882757206208305,0.364845977091396,3,"C","Coral","#00FFFF",5,719.84,0.740442320515671,16214.8843952251,0.646472303589383,1.14535814822157
"258",3.2,"Centrostephanus","3.2.6.1",NA,NA,NA,NA,165.68,146.78,NA,63.8,2.2,2.22,NA,NA,"Calcite",0.08,"",0,18.9,0.114075325929503,NA,NA,NA,6.77951737325601,445.029955867807,NA,0.0424690512420564,81.5764797987047,2.03097756128759,5.49233090913835,22.053172457752,3.25291185840866,0.250838228960681,3,"C","Centr","#00FF40",4,719.84,2.62558346299178,16214.8843952251,2.74457680375975,0.956644193521943
"259",3.2,"Aragonite","3.2.1.4",NA,NA,NA,NA,803.08,788.16,NA,10.9,4.75,6.7,NA,NA,"Aragonite",NA,"",0,14.9200000000001,0.0185784728794143,NA,NA,NA,7.02638005164836,313.26,NA,0.0476281682947075,346.8925,2.31506878932234,9.29507582230479,2.15879335054945,0.307241187450857,0.181954491405533,3,"A","Arago","#FFBF00",2,719.84,2.0726828184041,16214.8843952251,1.9319286672944,1.07285680547762
"260",3.2,"Calcite","3.2.2.4",NA,NA,NA,NA,179.05,173.56,NA,8.09,6.64,1.58,NA,NA,"Calcite",0.01,"",0,5.49000000000001,0.0306618263055013,NA,NA,NA,4.39465273281301,153.982,NA,0.0356535179436558,84.873808,2.10960252896865,5.6362654887838,2.91844908906233,0.664090945632975,0.221836027676631,3,"C","Calci","#80FF00",3,719.84,0.762669482107137,16214.8843952251,0.949633659092532,0.803119681789651
"261",3.2,"Aragonite","3.2.1.5",NA,NA,NA,NA,2201.25,2180.32,NA,8.67,7.33,6.51,NA,NA,"Aragonite",NA,"",0,20.9299999999998,0.00950823395797835,NA,NA,NA,7.45134525802347,335.4222,NA,0.0623989706107701,413.717661,5.32065755829554,13.0083772435147,0.760448419341155,0.102055185071759,-0.880091009998422,3,"A","Arago","#FFBF00",2,719.84,2.90759057568346,16214.8843952251,2.06860679252684,1.40557914930357
"262",3.2,"Anadara","3.2.5.3",NA,NA,NA,NA,571.96,554.35,NA,8.56,12.97,2,10.818,11.352,"Mixed",NA,"calcx is y, swapped",0,17.61,0.0307888663542905,NA,NA,NA,6.05547077038408,351.01565,11.085,0.0501687033042544,222.0464,2.57585801886453,8.30083699886434,4.49150974320531,0.741727590391858,0.0898028201892136,1,"A","Anada","#FF0000",1,719.84,2.44637697266059,16214.8843952251,2.16477429899757,1.13008408026344
"263",3.2,"Marginopora","3.2.7.3",NA,NA,NA,NA,149.09,139.37,NA,11.13,11.1,1.25,NA,NA,"Calcite",0.15,"",0,9.72,0.0651955194848749,NA,NA,NA,5.36507814478414,237.709393532035,NA,0.040890264602396,121.288056625764,1.22922243251056,5.30252638542974,5.20497395173862,0.97015808740807,0.546579700291199,3,"M","Margi","#0040FF",6,719.84,1.35030006668149,16214.8843952251,1.46599499409342,0.921080953292422
"264",3.2,"Saccostrea","3.2.4.2",NA,NA,NA,NA,407.06,394.46,NA,12.46,10.41,1.64,NA,NA,"Calcite",0,"salt removed, reweighed",0,12.6,0.0309536677639661,NA,NA,NA,5.96949427408297,334.4308,NA,0.0376759556835077,212.722104,1.91357640953006,7.4111592043601,5.08683524197234,0.852138390358668,0.29414370729249,3,"S","Sacco","#FF00BF",8,719.84,1.75038897532785,16214.8843952251,2.06249265704591,0.848676464058263
"265",3.2,"Aragonite","3.2.1.2",NA,NA,NA,NA,1549.02,1517.37,NA,13.85,6.96,6.18,NA,NA,"Aragonite",NA,"",0,31.6500000000001,0.0204322733082853,NA,NA,NA,8.41425809764288,450.0036,NA,0.0703327706711682,595.72728,2.60021666289984,11.5705057290905,3.04141936588096,0.361460194183129,0.0811955254770875,3,"A","Arago","#FFBF00",2,719.84,4.39681040231164,16214.8843952251,2.77525012840989,1.58429337856867
"266",3.2,"Anadara","3.2.5.2",NA,NA,NA,NA,464.96,450.26,NA,10.48,8.58,1.96,12.188,12.298,"Mixed",NA,"calcx is x",0,14.7,0.0316156228492773,NA,NA,NA,5.60662549146742,276.5895,12.243,0.0531473537498712,176.240064,2.63821965021529,7.74708874351046,3.83112483617753,0.683320981936107,0.0677669080511349,1,"A","Anada","#FF0000",1,719.84,2.04212047121583,16214.8843952251,1.70577534355687,1.19718020249819
"267",3.2,"Calcite","3.2.2.3",NA,NA,NA,NA,1124.71,1114.4,NA,9.03,8.05,6.2,NA,NA,"Calcite",0.01,"",0,10.3099999999999,0.00916680744369655,NA,NA,NA,7.66699370585596,357.175,NA,0.0288654021138096,450.6873,2.49554402797683,10.399525372817,1.07100209804801,0.139689967037536,0.0794747222512631,3,"C","Calci","#80FF00",3,719.84,1.43226272505,16214.8843952251,2.20276007706339,0.650212767138679
"268",3.2,"Pecten","3.2.3.6",NA,NA,NA,NA,1269.71,1216.01,NA,24.73,18.53,1.2,24.81,23.793,"Calcite",0.01,"",0,53.7,0.0422931220514921,NA,NA,NA,8.19269764331166,1003.40919,24.3015,0.0535175485087993,540.368154,2.34971285891137,10.8284969865204,11.1462674522294,1.36051248776757,0.133267112168435,3,"P","Pecte","#8000FF",7,719.84,7.45999110913537,16214.8843952251,6.18819823529227,1.20551909061185
"269",3.2,"Saccostrea","3.2.4.6",NA,NA,NA,NA,589.98,573.47,NA,10.55,9.97,2.81,NA,NA,"Calcite",0,"",0,16.51,0.0279839994576087,NA,NA,NA,6.66118219626939,325.6894,NA,0.0506924695737718,295.565635,1.99610485840142,8.38711175476105,3.68293926791021,0.552895741235369,0.263701638361705,3,"S","Sacco","#FF00BF",8,719.84,2.29356523671927,16214.8843952251,2.00858292949599,1.14188227084793
"270",3.2,"Centrostephanus","3.2.6.3",NA,NA,NA,NA,169.57,149.56,NA,64.58,2.01,2.1,NA,NA,"Calcite",0.08,"",0,20.01,0.118004363979477,NA,NA,NA,6.4839222367957,426.112823208066,NA,0.0469593941091731,71.3644658428355,2.37611250917845,5.53498362092093,22.3179740789319,3.44204838736025,0.123529137152912,3,"C","Centr","#00FF40",4,719.84,2.77978439653256,16214.8843952251,2.62791157076363,1.05779221320024
"271",3.2,"Coral","3.2.8.6",NA,NA,NA,NA,149.32,144.28,NA,8.09,3.39,3.98,NA,NA,"Aragonite",NA,"",0,5.03999999999999,0.033753013661934,NA,NA,NA,4.77907409573727,114.849558831772,NA,0.0438834946452203,85.7277002205456,1.7417940714128,5.30525170673336,1.83302469857909,0.383552265953371,0.384525063105018,3,"C","Coral","#00FFFF",5,719.84,0.700155590131139,16214.8843952251,0.708297117835712,0.9885054908462
"272",3.2,"Pecten","3.2.3.5",NA,NA,NA,NA,513.09,487.42,NA,19.99,10.81,1.26,22.863,22.354,"Calcite",0.01,"",0,25.67,0.0500302091251048,NA,NA,NA,6.48141272924884,573.01039,22.6085,0.0447984896050489,307.9413351,1.66619398410214,8.00567305943198,8.55902909025039,1.32054992449807,0.385395063038681,3,"P","Pecte","#8000FF",7,719.84,3.56607023783063,16214.8843952251,3.53385430344936,1.00911637311981
"273",3.2,"Saccostrea","3.2.4.4",NA,NA,NA,NA,565.5,553.64,NA,11.85,10.7,2.9,NA,NA,"Calcite",0,"broken?",0,11.86,0.0209725906277631,NA,NA,NA,7.16418362390236,384.38,NA,0.0308548831885114,367.7055,1.53791553294688,8.26946734218001,4.16193879203255,0.580936923245069,0.432712824438627,3,"S","Sacco","#FF00BF",8,719.84,1.64758835296733,16214.8843952251,2.37053802315847,0.695027178164434
"274",3.2,"Aragonite","3.2.1.6",NA,NA,NA,NA,1102.97,1086.74,NA,8.39,4.87,9.76,NA,NA,"Aragonite",NA,"",0,16.23,0.0147148154528228,NA,NA,NA,7.36060614494309,340.5538,NA,0.0476576681863483,398.786768,2.76581393492976,10.3320833266535,1.97313128501897,0.268066412760661,0.0226805883640435,3,"A","Arago","#FFBF00",2,719.84,2.25466770393421,16214.8843952251,2.10025425836699,1.07352131055184
"275",3.2,"Centrostephanus","3.2.6.5",NA,NA,NA,NA,230.96,214.23,NA,58.5,3.03,3.11,NA,NA,"Calcite",0.08,"",0,16.73,0.0724367855905785,NA,NA,NA,8.19947969135634,571.767546495328,NA,0.0292601426970579,144.320329006292,1.60032894596527,6.13543826092418,20.1864932304521,2.46192368178339,0.409690540034944,3,"C","Centr","#00FF40",4,719.84,2.32412758390754,16214.8843952251,3.5261894723326,0.659104566598944
"276",3.2,"Anadara","3.2.5.4",NA,NA,NA,NA,385.69,375.72,NA,9.51,8.17,2.11,10.955,9.673,"Mixed",NA,"calcx is x",0,9.96999999999997,0.0258497757266197,NA,NA,NA,5.47303648027874,239.96456,10.314,0.0415478018920793,163.940037,2.35262847964344,7.27912973133624,3.36565450657375,0.614951959246277,0.168682516027051,1,"A","Anada","#FF0000",1,719.84,1.38503000666815,16214.8843952251,1.47990299622897,0.935892426866776
"277",3.2,"Marginopora","3.2.7.6",NA,NA,NA,NA,108.4,98.22,NA,11.03,10.71,0.96,NA,NA,"Calcite",0.15,"",0,10.18,0.0939114391143912,NA,NA,NA,4.84037198607169,218.343359778246,NA,0.0466238131094942,89.0689018173629,1.21703532645183,4.76807517560856,5.3132093379761,1.09768615992015,0.55107512856812,3,"M","Margi","#0040FF",6,719.84,1.41420315625695,16214.8843952251,1.34656131031402,1.05023302349832
"278",3.2,"Anadara","3.2.5.6",NA,NA,NA,NA,525.02,507.13,NA,14.29,8.7,1.99,16.94,17.509,"Mixed",NA,"calcx is x",0,17.89,0.034074892385052,NA,NA,NA,6.2777138993915,377.35566,17.2245,0.0474088556138259,247.40277,2.12212660351378,8.06724566873595,4.90742870020283,0.78172226049972,0.25013194222128,1,"A","Anada","#FF0000",1,719.84,2.48527450544566,16214.8843952251,2.32721770197216,1.06791663854205
"279",3.2,"Saccostrea","3.2.4.5",NA,NA,NA,NA,521.06,507.54,NA,11.68,9.91,2.79,NA,NA,"Calcite",0,"",0,13.5199999999999,0.0259471078186772,NA,NA,NA,6.86078116148695,351.9698,NA,0.0384123865172521,322.939152,1.61349281055894,8.04691187182652,3.97973961283768,0.580070916002682,0.404834817204376,3,"S","Sacco","#FF00BF",8,719.84,1.87819515447876,16214.8843952251,2.17065870727791,0.865265068240088
"280",3.2,"Calcite","3.2.2.1",NA,NA,NA,NA,538.03,529.21,NA,8.51,7.23,3.45,NA,NA,"Calcite",0.01,"",0,8.81999999999994,0.0163931379291116,NA,NA,NA,5.96525459789564,231.6606,NA,0.038072939464026,212.269185,2.53465899913829,8.13333818567001,2.10824846736812,0.353421372511384,0.0650464776325018,3,"C","Calci","#80FF00",3,719.84,1.22527228272949,16214.8843952251,1.42869103691062,0.857618793058992
"281",3.2,"Pecten","3.2.3.1",NA,NA,NA,NA,568.38,544.24,NA,10.33,18.81,1.35,12.289,12.692,"Calcite",0.01,"calcx is y, swapped",0,24.14,0.0424715859108343,NA,NA,NA,6.40139011958505,554.40396,12.4905,0.0435422575264433,317.17751175,1.79199337577249,8.28348193074108,7.84970329347165,1.22624979056588,0.33899174630303,3,"P","Pecte","#8000FF",7,719.84,3.35352300511225,16214.8843952251,3.4191052275603,0.980818893224048
"282",3.2,"Pecten","3.2.3.3",NA,NA,NA,NA,713.84,683.41,NA,17.84,16.26,1.02,20.266,20.1,"Calcite",0.01,"",0,30.4300000000001,0.0426286002465539,NA,NA,NA,6.6635427408362,730.69488,20.183,0.0416452897548701,334.7390916,2.13252654952237,8.93717564474012,9.5864857530546,1.43864699693539,0.213380099770428,3,"P","Pecte","#8000FF",7,719.84,4.22732829517672,16214.8843952251,4.50632185953279,0.93808840711946
"283",3.2,"Aragonite","3.2.1.1",NA,NA,NA,NA,1408.54,1379.91,NA,10.61,9.14,5.12,NA,NA,"Aragonite",NA,"",0,28.6299999999999,0.0203260113308815,NA,NA,NA,7.91851688039766,396.1908,NA,0.0722631620926076,496.514048,2.83685830375539,11.2095900005037,2.23716103986745,0.282522734201092,-0.00242342888882874,3,"A","Arago","#FFBF00",2,719.84,3.97727272727272,16214.8843952251,2.44337727203698,1.62777675506369
"284",3.2,"Saccostrea","3.2.4.3",NA,NA,NA,NA,733.15,717.82,NA,13.81,10.58,2.79,NA,NA,"Calcite",0,"questionable",0,15.3299999999999,0.0209097728977698,NA,NA,NA,7.41471591928003,428.3158,NA,0.0357913483462434,407.646342,1.79849522604081,9.01704588423268,4.72842802690666,0.637708589025186,0.336593424551527,3,"S","Sacco","#FF00BF",8,719.84,2.12963991998221,16214.8843952251,2.6414977101294,0.806224405122759
"285",3.2,"Marginopora","3.2.7.1",NA,NA,NA,NA,114.41,105.92,NA,11.3,11.21,0.84,NA,NA,"Calcite",0.15,"",0,8.48999999999999,0.0742068001048859,NA,NA,NA,4.73864797914738,228.678728369659,NA,0.0371263215452026,83.5705429037178,1.36902305554976,4.85461352903451,5.64378400695087,1.19101145132253,0.495011783271944,3,"M","Margi","#0040FF",6,719.84,1.1794287619471,16214.8843952251,1.41030131819503,0.836295582178559
"286",3.2,"Marginopora","3.2.7.5",NA,NA,NA,NA,131.33,121.75,NA,10.85,10.73,1.35,NA,NA,"Calcite",0.15,"",0,9.58000000000001,0.0729460138582198,NA,NA,NA,5.39661052726141,228.634903152141,NA,0.0419008640759682,123.439203290447,1.06392455961488,5.0830141039938,4.94446315757953,0.916216416323206,0.60755272607345,3,"M","Margi","#0040FF",6,719.84,1.33085130028896,16214.8843952251,1.41003104048937,0.943845392103613
"287",3.2,"Marginopora","3.2.7.4",NA,NA,NA,NA,74.22,65.81,NA,9.72,9.53,0.89,NA,NA,"Calcite",0.15,"",0,8.41,0.113311775801671,NA,NA,NA,4.35227562265966,172.417045093948,NA,0.0487770799889158,64.7498927761847,1.14625672441729,4.20249285117613,4.66924145911345,1.07282761110154,0.577183059971491,3,"M","Margi","#0040FF",6,719.84,1.16831518115137,16214.8843952251,1.06332577458721,1.09873682090036
"288",3.2,"Coral","3.2.8.3",NA,NA,NA,NA,130.09,125.63,NA,7.81,3.02,3.18,NA,NA,"Aragonite",NA,"",0,4.46000000000001,0.0342839572603583,NA,NA,NA,4.21724047107198,91.1463993400699,NA,0.0489322675639617,58.9080949536492,2.20835523712588,5.06696577950976,1.94241349035733,0.460588743677589,0.219662460379547,3,"C","Coral","#00FFFF",5,719.84,0.619582129362082,16214.8843952251,0.562115628569701,1.10223252631955
"289",3.2,"Calcite","3.2.2.6",NA,NA,NA,NA,1188.45,1175.7,NA,8.77,8.55,6.14,NA,NA,"Calcite",0.01,"",0,12.75,0.010728259497665,NA,NA,NA,7.7216721770824,362.6566,NA,0.0351572258715269,460.39869,2.58134965588195,10.5923820903259,1.15277594097253,0.149290971506654,0.0478238082324054,3,"C","Calci","#80FF00",3,719.84,1.77122693931985,16214.8843952251,2.23656605351312,0.791940366141957
"290",3.2,"Coral","3.2.8.2",NA,NA,NA,NA,79.85,74.92,NA,7.36,3.05,2.76,NA,NA,"Aragonite",NA,"",0,4.92999999999999,0.0617407639323731,NA,NA,NA,3.95696533139667,80.3927276868321,NA,0.0613239548134837,48.6605056025707,1.64096116575865,4.30617465179365,1.83565511046556,0.463904774676819,0.420155065102949,3,"C","Coral","#00FFFF",5,719.84,0.684874416537007,16214.8843952251,0.495795873268797,1.3813636890957
"291",3.2,"Coral","3.2.8.5",NA,NA,NA,NA,145.45,140.23,NA,8.01,3.34,3.08,NA,NA,"Aragonite",NA,"",0,5.22,0.0358886215194225,NA,NA,NA,4.35154253657305,96.9360404413706,NA,0.053849940396082,64.7171793718829,2.24747124970024,5.25901700609014,1.98051417885768,0.455129224226173,0.205840547809104,3,"C","Coral","#00FFFF",5,719.84,0.725161146921539,16214.8843952251,0.597821347834685,1.2130064433933
"292",3.2,"Pecten","3.2.3.4",NA,NA,NA,NA,872.37,845.28,NA,14.21,22.23,1.15,16.854,16.573,"Calcite",0.01,"calcx is y",0,27.09,0.0310533374600227,NA,NA,NA,7.13527080139656,832.65226,16.7135,0.0325345901300983,427.27227075,2.04171920276668,9.55506342236391,10.2194097328678,1.43223852567272,0.246875985700228,3,"P","Pecte","#8000FF",7,719.84,3.76333629695488,16214.8843952251,5.13511067797188,0.732863716667002
"293",3.2,"Calcite","3.2.2.5",NA,NA,NA,NA,1148.83,1138.95,NA,8.61,7.62,6.62,NA,NA,"Calcite",0.01,"",0,9.87999999999988,0.0086000539679499,NA,NA,NA,7.57307115546493,346.1016,NA,0.0285465308452775,434.326284,2.64508514064509,10.4733412919561,0.678976281511691,0.0896566620824266,0.0243138544282214,3,"C","Calci","#80FF00",3,719.84,1.37252722827293,16214.8843952251,2.13446850168059,0.643029975468023
"294",3.2,"Calcite","3.2.2.2",NA,NA,NA,NA,408.2,402.36,NA,5.63,5.76,4.78,NA,NA,"Calcite",0.01,"",0,5.83999999999997,0.0143067123958843,NA,NA,NA,5.37179699126404,173.746,NA,0.0336122845993575,155.009664,2.63338419983931,7.41807124571593,0.41273433624532,0.0768335692723562,0.028629952106489,3,"C","Calci","#80FF00",3,719.84,0.81129139808846,16214.8843952251,1.07152166962821,0.757139515778488
"295",3.2,"Pecten","3.2.3.2",NA,NA,NA,NA,464.2,454.03,NA,10.05,13.54,1.44,11.713,10.866,"Calcite",0.01,"calcx is y",0,10.17,0.0219086600603189,NA,NA,NA,5.80830044207718,377.22862,11.2895,0.0269597783964536,220.1181552,2.10886739250666,7.74286544235138,5.86039985264094,1.00896982018808,0.222107195681793,3,"P","Pecte","#8000FF",7,719.84,1.41281395865748,16214.8843952251,2.32643422429262,0.607287299982471
"296",3.2,"Coral","3.2.8.1",NA,NA,NA,NA,194.95,187.83,NA,10.87,3.14,3.11,NA,NA,"Aragonite",NA,"",0,7.11999999999998,0.036522185175686,NA,NA,NA,4.73485329197582,122.055429901311,NA,0.0583341519976367,83.3699349340265,2.3383729416878,5.79839432365755,3.1182844306586,0.658581003120663,0.173719808590884,3,"C","Coral","#00FFFF",5,719.84,0.98910869082018,16214.8843952251,0.752736972563637,1.31401635215488
